id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,63.0
2,NL_Wind_Onshore,2030,true,49.0,,554.0
3,NL_Wind_Offshore,2030,true,49.0,,-0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,-0.0
6,NL_CCGT,2030,true,357.0,,7.0
7,NL_OCGT,2030,true,357.0,,2.0
8,NL_Battery,2030,false,10.0,,55.066003222344094
9,BE_Solar,2030,true,18.0,,408.0
10,BE_Wind_Onshore,2030,true,49.0,,407.0
11,BE_Coal,2030,true,824.0,,2.0
12,BE_Nuclear,2030,true,2095.0,,-0.0
13,BE_CCGT,2030,true,357.0,,4.0
14,BE_OCGT,2030,true,357.0,,5.0
15,BE_Battery,2030,false,10.0,,11.070146996583208
16,DE_Solar,2030,true,18.0,,2744.0
17,DE_Wind_Onshore,2030,true,49.0,,1995.0
18,DE_Wind_Offshore,2030,true,49.0,,-0.0
19,DE_Coal,2030,true,824.0,,24.0
20,DE_Nuclear,2030,true,2095.0,,-0.0
21,DE_CCGT,2030,true,357.0,,20.0
22,DE_OCGT,2030,true,357.0,,24.0
23,DE_Battery,2030,false,10.0,,161.6406898304465
24,FR_Solar,2030,true,18.0,,1314.0
25,FR_Wind_Onshore,2030,true,49.0,,2316.0
26,FR_Wind_Offshore,2030,true,49.0,,-0.0
27,FR_Coal,2030,true,824.0,,9.0
28,FR_Nuclear,2030,true,2095.0,,-0.0
29,FR_CCGT,2030,true,357.0,,14.0
30,FR_OCGT,2030,true,357.0,,3.0
31,FR_Battery,2030,false,10.0,,391.4075737082658
32,LU_Solar,2030,true,18.0,,182.0
33,LU_Wind_Onshore,2030,true,49.0,,-0.0
34,LU_Wind_Offshore,2030,true,49.0,,-0.0
35,LU_Coal,2030,true,824.0,,-0.0
36,LU_Nuclear,2030,true,2095.0,,-0.0
37,LU_CCGT,2030,true,357.0,,-0.0
38,LU_OCGT,2030,true,357.0,,-0.0
39,LU_Battery,2030,false,10.0,,13.05968038928637
40,CH_Solar,2030,true,18.0,,683.0
41,CH_Wind_Onshore,2030,true,49.0,,-0.0
42,CH_Wind_Offshore,2030,true,49.0,,-0.0
43,CH_Coal,2030,true,824.0,,6.0
44,CH_Nuclear,2030,true,2095.0,,-0.0
45,CH_OCGT,2030,true,357.0,,3.0
46,CH_Battery,2030,false,10.0,,49.072570950869974
47,AT_Solar,2030,true,18.0,,188.0
48,AT_Wind_Onshore,2030,true,49.0,,400.0
49,AT_Wind_Offshore,2030,true,49.0,,-0.0
50,AT_Coal,2030,true,824.0,,4.0
51,AT_Nuclear,2030,true,2095.0,,-0.0
52,AT_CCGT,2030,true,357.0,,2.0
53,AT_OCGT,2030,true,357.0,,3.0
54,AT_Battery,2030,false,10.0,,38.976768070778235
55,BE_Wind_Offshore,2030,true,49.0,,-0.0
56,CH_CCGT,2030,true,357.0,,3.0
