asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory
NL_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
NL_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
NL_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
NL_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
NL_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
NL_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
NL_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
NL_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
BE_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
BE_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
BE_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
BE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
